City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Zherdevka,51.8486,41.4606,65.41,81,71,7.49,RU,2022-06-11 18:25:06
221,Lebu,-37.6167,-73.65,55.17,67,97,4.74,CL,2022-06-11 18:25:06
222,Grindavik,63.8424,-22.4338,53.55,81,75,18.41,IS,2022-06-11 18:25:06
223,Ulladulla,-35.35,150.4667,52.7,54,0,15.9,AU,2022-06-11 18:25:07
224,Sur,22.5667,59.5289,88.36,72,0,13.53,OM,2022-06-11 18:25:07
225,Saint George,37.1041,-113.5841,103.78,12,0,4.0,US,2022-06-11 18:20:59
226,Mount Isa,-20.7333,139.5,53.37,43,100,8.05,AU,2022-06-11 18:25:07
227,Saint Anthony,45.0205,-93.218,77.92,58,75,6.91,US,2022-06-11 18:26:08
228,Okhotsk,59.3833,143.3,41.04,94,87,2.08,RU,2022-06-11 18:26:08
229,Mastic Beach,40.7668,-72.8521,76.08,65,0,9.22,US,2022-06-11 18:26:09
230,Kaseda,31.4167,130.3167,67.71,88,93,6.02,JP,2022-06-11 18:26:09
231,Seydi,39.4816,62.9137,83.01,27,1,10.4,TM,2022-06-11 18:26:09
232,Karaton,-6.3424,106.1045,72.43,97,100,2.95,ID,2022-06-11 18:26:10
233,Sechura,-5.5569,-80.8222,75.15,58,73,13.35,PE,2022-06-11 18:26:10
234,Nuevo Progreso,23.1667,-97.95,95.54,44,18,7.0,MX,2022-06-11 18:26:10
235,Lakhdenpokhya,61.5198,30.1992,54.43,78,80,4.9,RU,2022-06-11 18:26:11
236,Sabzevar,36.2126,57.6819,78.08,38,0,16.11,IR,2022-06-11 18:26:11
237,Challans,46.8436,-1.8749,77.92,61,3,13.85,FR,2022-06-11 18:26:11
238,Valle De Allende,26.9333,-105.4,91.36,16,3,8.75,MX,2022-06-11 18:26:12
239,Ballina,-28.8667,153.5667,49.96,69,5,11.83,AU,2022-06-11 18:26:12
240,Ramshir,30.8946,49.4092,94.75,8,0,22.1,IR,2022-06-11 18:26:12
241,Road Town,18.4167,-64.6167,87.89,70,20,16.11,VG,2022-06-11 18:26:13
242,Inverell,-29.7833,151.1167,38.16,92,20,5.01,AU,2022-06-11 18:26:13
243,Bandar-E Lengeh,26.5579,54.8807,89.71,62,0,4.61,IR,2022-06-11 18:26:13
244,Saint-Louis,16.3333,-15.0,105.44,15,26,4.68,SN,2022-06-11 18:26:14
245,Natal,-5.795,-35.2094,86.65,74,40,10.36,BR,2022-06-11 18:26:14
246,Harper,4.375,-7.7169,75.45,92,100,7.27,LR,2022-06-11 18:26:14
247,Mandalgovi,45.7625,106.2708,50.67,76,97,21.47,MN,2022-06-11 18:26:15
248,Loreto,22.2667,-101.9667,79.7,26,4,6.78,MX,2022-06-11 18:26:15
249,Estevan,49.1334,-102.9842,77.34,49,75,4.61,CA,2022-06-11 18:25:19
250,Broome,42.2506,-75.833,74.7,49,75,6.91,US,2022-06-11 18:26:16
251,Zabaykalsk,49.6333,117.3167,57.52,87,100,12.17,RU,2022-06-11 18:26:16
252,Luderitz,-26.6481,15.1594,64.92,49,54,8.95,NA,2022-06-11 18:26:16
253,Leningradskiy,69.3833,178.4167,33.85,73,98,10.2,RU,2022-06-11 18:26:17
254,Caravelas,-17.7125,-39.2481,76.69,76,87,7.94,BR,2022-06-11 18:26:17
255,Cabo San Lucas,22.8909,-109.9124,86.61,69,40,8.05,MX,2022-06-11 18:25:06
256,Roald,62.5833,6.1333,63.91,72,75,9.22,NO,2022-06-11 18:26:17
257,Polyarnyy,69.1989,33.4478,62.56,48,35,15.32,RU,2022-06-11 18:26:18
258,Cherskiy,68.75,161.3,59.41,42,89,5.53,RU,2022-06-11 18:26:18
259,Tual,-5.6667,132.75,81.84,77,99,5.93,ID,2022-06-11 18:26:18
260,Urumqi,43.801,87.6005,79.75,21,0,4.47,CN,2022-06-11 18:26:19
261,Sao Filipe,14.8961,-24.4956,73.72,84,20,4.68,CV,2022-06-11 18:26:19
262,Finschhafen,-6.6024,147.8681,77.63,80,7,4.12,PG,2022-06-11 18:26:19
263,Dingle,10.9995,122.6711,76.84,90,72,2.15,PH,2022-06-11 18:26:20
264,Chapais,49.7834,-74.8492,62.38,48,73,6.15,CA,2022-06-11 18:25:17
265,Casper,42.8666,-106.3131,82.81,42,0,3.44,US,2022-06-11 18:26:20
266,College,64.8569,-147.8028,60.48,66,75,3.44,US,2022-06-11 18:26:21
267,Taoudenni,22.6783,-3.9836,112.77,5,13,5.28,ML,2022-06-11 18:26:21
268,Udomlya,57.8794,34.9925,60.21,87,25,5.17,RU,2022-06-11 18:26:22
269,Kavieng,-2.5744,150.7967,81.86,72,8,13.53,PG,2022-06-11 18:26:22
270,Jieshi,22.8134,115.8257,79.68,89,99,5.99,CN,2022-06-11 18:26:22
271,San Patricio,28.017,-97.5169,97.52,30,5,12.66,US,2022-06-11 18:26:23
272,Torbay,47.6666,-52.7314,72.37,53,75,20.71,CA,2022-06-11 18:26:23
273,Hope,33.6671,-93.5916,86.99,71,95,4.74,US,2022-06-11 18:26:23
274,Carballo,43.213,-8.691,71.02,89,72,13.33,ES,2022-06-11 18:26:24
275,Vilyuysk,63.7553,121.6247,48.45,83,60,4.56,RU,2022-06-11 18:27:24
276,Pangoa,-12.1167,-73.0,72.5,59,84,4.14,PE,2022-06-11 18:27:24
277,Comodoro Rivadavia,-45.8667,-67.5,66.06,15,0,8.05,AR,2022-06-11 18:27:25
278,Stokmarknes,68.5646,14.9108,46.38,87,100,4.61,NO,2022-06-11 18:27:25
279,Codrington,-38.2667,141.9667,52.47,75,100,19.26,AU,2022-06-11 18:27:25
280,Narsaq,60.9167,-46.05,57.42,58,100,2.33,GL,2022-06-11 18:24:34
281,Ponta Do Sol,32.6667,-17.1,75.7,78,0,2.15,PT,2022-06-11 18:27:26
